,0
0,nobody    -2
1,root    0
2,daemon    1
3,_uucp    4
4,_taskgated    13
5,_networkd    24
6,_installassistant    25
7,_lp    26
8,_postfix    27
9,_scsd    31
10,_ces    32
11,_appstore    33
12,_mcxalr    54
13,_appleevents    55
14,_geod    56
15,_serialnumberd    58
16,_devdocs    59
17,_sandbox    60
18,_mdnsresponder    65
19,_ard    67
20,_www    70
21,_eppc    71
22,_cvs    72
23,_svn    73
24,_mysql    74
25,_sshd    75
26,_qtss    76
27,_cyrus    77
28,_mailman    78
29,_appserver    79
30,_clamav    82
31,_amavisd    83
32,_jabber    84
33,_appowner    87
34,_windowserver    88
35,_spotlight    89
36,_tokend    91
37,_securityagent    92
38,_calendar    93
39,_teamsserver    94
40,_update_sharing    95
41,_installer    96
42,_atsserver    97
43,_ftp    98
44,_unknown    99
45,_softwareupdate    200
46,_coreaudiod    202
47,_screensaver    203
48,_locationd    205
49,_trustevaluationagent    208
50,_timezone    210
51,_lda    211
52,_cvmsroot    212
53,_usbmuxd    213
54,_dovecot    214
55,_dpaudio    215
56,_postgres    216
57,_krbtgt    217
58,_kadmin_admin    218
59,_kadmin_changepw    219
60,_devicemgr    220
61,_webauthserver    221
62,_netbios    222
63,_warmd    224
64,_dovenull    227
65,_netstatistics    228
66,_avbdeviced    229
67,_krb_krbtgt    230
68,_krb_kadmin    231
69,_krb_changepw    232
70,_krb_kerberos    233
71,_krb_anonymous    234
72,_assetcache    235
73,_coremediaiod    236
74,_launchservicesd    239
75,_iconservices    240
76,_distnote    241
77,_nsurlsessiond    242
78,_nsurlstoraged    243
79,_displaypolicyd    244
80,_astris    245
81,_krbfast    246
82,_gamecontrollerd    247
83,_mbsetupuser    248
84,_ondemand    249
85,_xserverdocs    251
86,_wwwproxy    252
87,_mobileasset    253
88,_findmydevice    254
89,_datadetectors    257
90,_captiveagent    258
91,_ctkd    259
92,_applepay    260
93,_hidd    261
94,_cmiodalassistants    262
95,_analyticsd    263
96,_fpsd    265
97,_timed    266
